Portfolio,Return (simple) (%),Return (compounded) (%),Difference (Simple-Compounded) (%),Volatility (%),De-Risking Factor (%),Sharpe Ratio (simple),Return Same Risk (%)
Formula,10.787217127860579,9.796190309348397,0.9910268185121834,16.661378092721804,100.0,0.5497789090278866,10.787217127860579
Market,13.692569747628959,12.892595070875124,0.799974676753834,17.41504116248306,95.67234402302269,0.692816444010391,13.170419579655007
Speculative,10.059854755991534,6.393892085277941,3.6659626707135935,27.99464724808944,59.51629947349632,0.30122586736377577,6.645980924598794
Size,10.930770521551246,8.924081550830776,2.0066889707204703,21.74222929222756,76.63141561421182,0.42588362425881926,8.766919198385967
Momentum,15.776123218874021,13.824937770753575,1.951185448120446,23.620068155557504,70.53907712286424,0.5971622103234355,11.62065647999533
LowVol,9.003749497567153,8.406733771955821,0.5970157256113315,13.455938084836742,123.8217505734306,0.5449369891735055,10.750512324440338
NPY,14.756140182566405,12.655305600739464,2.1008345818269407,23.413616249483983,71.16106249964274,0.5588640785783648,10.982556826745835
