YearMonth,Portfolio Returns,Portfolio
1929-04,0.01686733,Formula
1929-05,-0.0484800202020202,Formula
1929-06,0.08419478787878787,Formula
1929-07,0.04699497959183673,Formula
1929-08,0.05525637113402061,Formula
1929-09,-0.022422642857142856,Formula
1929-10,-0.13469294897959183,Formula
1929-11,-0.09544424,Formula
1929-12,0.012467868686868689,Formula
1930-01,0.048856636038639996,Formula
1930-02,0.017448867346938776,Formula
1930-03,0.0565559797979798,Formula
1930-04,-0.03638962626262626,Formula
1930-05,-0.004281505154639175,Formula
1930-06,-0.11186824468085106,Formula
1930-07,0.01758831,Formula
1930-08,0.008124939393939394,Formula
1930-09,-0.08899295,Formula
1930-10,-0.059974102040816324,Formula
1930-11,-0.01742882474226804,Formula
1930-12,-0.07975223469387754,Formula
1931-01,0.08405539393939394,Formula
1931-02,0.08922775757575759,Formula
1931-03,-0.039359,Formula
1931-04,-0.10223414141414142,Formula
1931-05,-0.10250414285714285,Formula
1931-06,0.11388586734693877,Formula
1931-07,-0.031108990000000003,Formula
1931-08,-0.003256319587628866,Formula
1931-09,-0.2688217244897959,Formula
1931-10,0.11751041414141414,Formula
1931-11,-0.054820070707070706,Formula
1931-12,-0.11227434693877551,Formula
1932-01,0.02914425,Formula
1932-02,0.03301323,Formula
1932-03,-0.08652924000000001,Formula
1932-04,-0.16309265,Formula
1932-05,-0.21701004999999998,Formula
1932-06,0.045859727272727274,Formula
1932-07,0.29818556,Formula
1932-08,0.29549172,Formula
1932-09,-0.02023397,Formula
1932-10,-0.10522914141414141,Formula
1932-11,-0.032362606060606064,Formula
1932-12,0.019386734693877552,Formula
1933-01,0.046213670000000005,Formula
1933-02,-0.10104817,Formula
1933-03,0.09551222222222222,Formula
1933-04,0.3257813,Formula
1933-05,0.26860314141414143,Formula
1933-06,0.12740791919191918,Formula
1933-07,-0.09652896,Formula
1933-08,0.15180338,Formula
1933-09,-0.06985904999999999,Formula
1933-10,-0.07418421212121212,Formula
1933-11,0.07718211,Formula
1933-12,0.02935693,Formula
1934-01,0.16025908,Formula
1934-02,-0.007211609999999999,Formula
1934-03,0.02784515306122449,Formula
1934-04,0.011535343434343434,Formula
1934-05,-0.07387866,Formula
1934-06,0.04422968,Formula
1934-07,-0.0891250808080808,Formula
1934-08,0.0546418,Formula
1934-09,-0.00045014141414141407,Formula
1934-10,0.01619502,Formula
1934-11,0.09085948999999999,Formula
1934-12,0.02680136,Formula
1935-01,-0.012952239999999999,Formula
1935-02,0.02431865,Formula
1935-03,-0.028459561224489796,Formula
1935-04,0.05569008,Formula
1935-05,0.00966754,Formula
1935-06,0.05219968,Formula
1935-07,0.06391843999999999,Formula
1935-08,0.01615142,Formula
1935-09,0.025211570000000003,Formula
1935-10,0.05914614,Formula
1935-11,0.025056469387755104,Formula
1935-12,0.03154594,Formula
1936-01,0.07171002,Formula
1936-02,0.02445624,Formula
1936-03,0.005485857142857142,Formula
1936-04,-0.09236745,Formula
1936-05,0.04231583,Formula
1936-06,0.019780730000000003,Formula
1936-07,0.07212087878787879,Formula
1936-08,0.02665051515151515,Formula
1936-09,0.032323819999999996,Formula
1936-10,0.05900635353535354,Formula
1936-11,0.06056514141414142,Formula
1936-12,0.0003567830607575752,Formula
1937-01,0.032629252525252526,Formula
1937-02,0.01732566,Formula
1937-03,-0.00289540404040404,Formula
1937-04,-0.07913218,Formula
1937-05,-0.01375321212121212,Formula
1937-06,-0.04458008,Formula
1937-07,0.07008431,Formula
1937-08,-0.03073810101010101,Formula
1937-09,-0.1584370606060606,Formula
1937-10,-0.09554292,Formula
1937-11,-0.1011652,Formula
1937-12,-0.06581191,Formula
1938-01,0.034081230000000004,Formula
1938-02,0.0462539797979798,Formula
1938-03,-0.21700432323232324,Formula
1938-04,0.14742864,Formula
1938-05,-0.02457453,Formula
1938-06,0.19218306,Formula
1938-07,0.07495892929292929,Formula
