Current Quarter,Next Quarter,Overlap Count,Turnover Count,Turnover Fraction
1959-06-30,1959-09-30,61.0,39.0,0.39
1959-09-30,1959-12-31,57.0,43.0,0.43
1959-12-31,1960-03-31,65.0,35.0,0.35
1960-03-31,1960-06-30,57.0,43.0,0.43
1960-06-30,1960-09-30,71.0,29.0,0.29
1960-09-30,1960-12-30,64.0,36.0,0.36
1960-12-30,1961-03-30,55.0,45.0,0.45
1961-03-30,1961-06-30,67.0,33.0,0.33
1961-06-30,1961-09-29,59.0,41.0,0.41
1961-09-29,1961-12-29,58.0,42.0,0.42
1961-12-29,1962-03-30,68.0,32.0,0.32
1962-03-30,1962-06-29,64.0,36.0,0.36
1962-06-29,1962-09-28,61.0,39.0,0.39
1962-09-28,1962-12-31,67.0,33.0,0.33
1962-12-31,1963-03-29,73.0,27.0,0.27
1963-03-29,1963-06-28,65.0,35.0,0.35
1963-06-28,1963-09-30,65.0,35.0,0.35
1963-09-30,1963-12-31,59.0,41.0,0.41
1963-12-31,1964-03-31,59.0,41.0,0.41
1964-03-31,1964-06-30,62.0,38.0,0.38
1964-06-30,1964-09-30,62.0,38.0,0.38
1964-09-30,1964-12-31,56.0,44.0,0.44
1964-12-31,1965-03-31,60.0,40.0,0.4
1965-03-31,1965-06-30,57.0,43.0,0.43
1965-06-30,1965-09-30,54.0,46.0,0.46
1965-09-30,1965-12-31,59.0,41.0,0.41
1965-12-31,1966-03-31,67.0,33.0,0.33
1966-03-31,1966-06-30,68.0,32.0,0.32
1966-06-30,1966-09-30,73.0,27.0,0.27
1966-09-30,1966-12-30,50.0,50.0,0.5
1966-12-30,1967-03-31,56.0,44.0,0.44
1967-03-31,1967-06-30,64.0,36.0,0.36
1967-06-30,1967-09-29,59.0,41.0,0.41
1967-09-29,1967-12-29,59.0,41.0,0.41
1967-12-29,1968-03-29,61.0,39.0,0.39
1968-03-29,1968-06-28,63.0,37.0,0.37
1968-06-28,1968-09-30,55.0,45.0,0.45
1968-09-30,1968-12-31,51.0,49.0,0.49
1968-12-31,1969-03-28,64.0,36.0,0.36
1969-03-28,1969-06-30,56.0,44.0,0.44
1969-06-30,1969-09-30,59.0,41.0,0.41
1969-09-30,1969-12-31,64.0,36.0,0.36
1969-12-31,1970-03-31,56.0,44.0,0.44
1970-03-31,1970-06-30,64.0,36.0,0.36
1970-06-30,1970-09-30,64.0,36.0,0.36
1970-09-30,1970-12-31,49.0,51.0,0.51
1970-12-31,1971-03-31,64.0,36.0,0.36
1971-03-31,1971-06-30,55.0,45.0,0.45
1971-06-30,1971-09-30,60.0,40.0,0.4
1971-09-30,1971-12-31,60.0,40.0,0.4
1971-12-31,1972-03-30,61.0,39.0,0.39
1972-03-30,1972-06-30,65.0,35.0,0.35
1972-06-30,1972-09-29,56.0,44.0,0.44
1972-09-29,1972-12-29,54.0,46.0,0.46
1972-12-29,1973-03-30,58.0,42.0,0.42
1973-03-30,1973-06-29,62.0,38.0,0.38
1973-06-29,1973-09-28,67.0,33.0,0.33
1973-09-28,1973-12-31,62.0,38.0,0.38
1973-12-31,1974-03-29,71.0,29.0,0.29
1974-03-29,1974-06-28,62.0,38.0,0.38
1974-06-28,1974-09-30,53.0,47.0,0.47
1974-09-30,1974-12-31,49.0,51.0,0.51
1974-12-31,1975-03-31,60.0,40.0,0.4
1975-03-31,1975-06-30,64.0,36.0,0.36
1975-06-30,1975-09-30,66.0,34.0,0.34
1975-09-30,1975-12-31,55.0,45.0,0.45
1975-12-31,1976-03-31,64.0,36.0,0.36
1976-03-31,1976-06-30,66.0,34.0,0.34
1976-06-30,1976-09-30,60.0,40.0,0.4
1976-09-30,1976-12-31,64.0,36.0,0.36
1976-12-31,1977-03-31,58.0,42.0,0.42
1977-03-31,1977-06-30,61.0,39.0,0.39
1977-06-30,1977-09-30,69.0,31.0,0.31
1977-09-30,1977-12-30,59.0,41.0,0.41
1977-12-30,1978-03-31,62.0,38.0,0.38
1978-03-31,1978-06-30,50.0,50.0,0.5
1978-06-30,1978-09-29,52.0,48.0,0.48
1978-09-29,1978-12-29,50.0,50.0,0.5
1978-12-29,1979-03-30,52.0,48.0,0.48
1979-03-30,1979-06-29,66.0,34.0,0.34
1979-06-29,1979-09-28,66.0,34.0,0.34
1979-09-28,1979-12-31,66.0,34.0,0.34
1979-12-31,1980-03-31,62.0,38.0,0.38
1980-03-31,1980-06-30,60.0,40.0,0.4
1980-06-30,1980-09-30,54.0,46.0,0.46
1980-09-30,1980-12-31,47.0,53.0,0.53
1980-12-31,1981-03-31,52.0,48.0,0.48
1981-03-31,1981-06-30,65.0,35.0,0.35
1981-06-30,1981-09-30,53.0,47.0,0.47
1981-09-30,1981-12-31,53.0,47.0,0.47
1981-12-31,1982-03-31,67.0,33.0,0.33
1982-03-31,1982-06-30,58.0,42.0,0.42
1982-06-30,1982-09-30,59.0,41.0,0.41
1982-09-30,1982-12-31,59.0,41.0,0.41
1982-12-31,1983-03-31,55.0,45.0,0.45
1983-03-31,1983-06-30,55.0,45.0,0.45
1983-06-30,1983-09-30,56.0,44.0,0.44
1983-09-30,1983-12-30,46.0,54.0,0.54
1983-12-30,1984-03-30,53.0,47.0,0.47
1984-03-30,1984-06-29,65.0,35.0,0.35
1984-06-29,1984-09-28,67.0,33.0,0.33
