YearMonth,Conservative,Speculative,Market
1929-04-01,100.0,100.0,100.0
1929-05-01,95.15199797979797,87.18025918367347,94.16883163444055
1929-06-01,103.16330026594991,92.36757002414386,103.87590101418442
1929-07-01,108.01145745657475,92.3615504296054,108.63815413639372
1929-08-01,113.97977863652171,90.45842668882908,117.97891600851862
1929-09-01,111.42405076721877,83.54821424650723,112.0946516593501
1929-10-01,96.41601678213033,62.63692914515053,89.94384323166607
1929-11-01,87.21366333653265,55.334920645476295,78.6754307925488
1929-12-01,88.30103183871331,52.111877268173956,80.01066335250887
1930-01-01,92.6151232130937,61.589721788027504,84.4031935091962
1930-02-01,94.23115221235936,64.45478979326708,86.730879913753
1930-03-01,99.56048735322192,76.98175527749585,93.20957771522417
1930-04-01,95.93751842791325,73.66694189027105,91.46209157553147
1930-05-01,95.52676144824085,68.72642527398963,90.14691678415767
1930-06-01,84.84035032497975,52.72038875520539,75.67806938449122
1930-07-01,86.33254870700411,54.52542018575036,78.91416093451612
1930-08-01,87.03399543297283,51.208739747878504,79.19591905974872
1930-09-01,79.28858342910605,40.81473079350235,69.23968328240144
1930-10-01,74.53332183585707,36.2854380797385,63.152889300581705
1930-11-01,73.23429363212087,35.58904984197872,61.25960426231356
1930-12-01,67.39369505873162,27.819830509730547,56.493886483604584
1931-01-01,73.05849864592469,35.380339549110275,60.1008576693087
1931-02-01,79.57734465195207,42.51942345390802,66.6656962548846
1931-03-01,76.44525994379589,39.250313242937615,62.450084048018226
1931-04-01,68.62994442826104,31.460250843392984,56.1935430023047
1931-05-01,61.5950908003088,26.338771145852863,48.76967408255613
1931-06-01,68.60990114041543,33.99931254328661,55.59750729030036
1931-07-01,66.47551641193725,30.359645267667247,51.94007752510659
1931-08-01,66.25905088574731,29.764661539657755,52.160725191988455
1931-09-01,48.447178563583584,19.403999562964444,36.95730071852149
1931-10-01,54.140226580573334,20.935613480467964,39.87969476513775
1931-11-01,51.17225553132947,19.12296021249823,36.32988623994889
1931-12-01,45.42692396016531,14.663203928998387,31.42455030140131
1932-01-01,46.75085758879137,17.578798446966523,30.97938266090159
1932-02-01,48.29425440306738,17.50375650959625,32.74430894014248
1932-03-01,44.115389273203306,14.870582435187565,29.10794753187301
1932-04-01,36.920493530855005,11.493028470462582,23.876920230875626
1932-05-01,28.908375383699486,9.163168802354154,18.97328751373474
1932-06-01,30.234105594693567,10.089626899093563,18.808256831692287
1932-07-01,39.249479302546405,16.925812035311584,25.208647747227094
1932-08-01,50.84737545076025,34.716264304248604,34.66810267793888
1932-09-01,49.818531181310824,31.32136783132286,33.64966643183625
1932-10-01,44.57616991858786,24.582005493519215,29.220002653204624
1932-11-01,43.13356889182196,21.180091183008727,27.518989480517895
1932-12-01,43.969787948327806,19.51767090927626,28.742934079552207
1933-01-01,46.001793218541806,20.9404447102485,29.101241763128716
1933-02-01,41.353396197089744,16.20082718149885,24.633728567040244
1933-03-01,45.30315096430978,17.685330577242496,25.439620821280347
1933-04-01,60.062070379558875,28.81137949231342,35.37841157878099
1933-05-01,76.19493116334564,54.823735818897944,43.02323785472663
1933-06-01,85.90276879583905,71.05637525951275,48.7363637298858
1933-07-01,77.61066386285624,65.60800760121542,44.051274904051475
1933-08-01,89.39222496128168,72.01761995646056,49.380355166121085
1933-09-01,83.14736904810024,56.90737121665932,44.095156002531816
1933-10-01,76.97914698531527,49.01865004893197,40.45373611176064
1933-11-01,82.92055997564205,51.31199102277676,44.48385592302987
1933-12-01,85.35485305040778,51.93739727711472,45.334241737715146
1934-01-01,99.0337432738013,76.38658709144337,51.080236628552136
1934-02-01,98.31955054047053,77.75416289544698,49.82272657392022
1934-03-01,101.05727347418075,75.7483379776915,49.885064479107875
1934-04-01,102.22300383024378,73.68106130157389,48.98217322504676
1934-05-01,94.67090528609052,63.71684733546184,45.40130250255479
1934-06-01,98.8581691322046,63.5355137391485,46.59721185268601
1934-07-01,90.04742681975793,47.38943979887756,41.46436845570986
1934-08-01,94.96778030655778,52.682889528576816,43.76376039407494
1934-09-01,94.92503137563271,51.29416589985154,43.700536595991665
1934-10-01,96.4623441572617,47.5770377348869,42.93903954059189
1934-11-01,105.22686355159499,53.54361396520173,46.51749254041515
1934-12-01,108.04708660331217,52.78635150049315,46.70429560041568
1935-01-01,106.64763480632529,49.36647264428743,45.08583538847176
1935-02-01,109.24116131050813,42.25343743597955,44.20239989944908
1935-03-01,106.13220579195738,37.67866502042681,42.58669230037675
1935-04-01,112.04271682308793,42.69683509780178,46.43194771290674
1935-05-01,113.12589426968378,44.448433476600805,48.041689135094614
1935-06-01,119.03102975027511,45.54934161112028,50.90624430200401
1935-07-01,126.63930748350629,52.74696437524168,54.73895287189086
1935-08-01,128.68471212718154,61.946139379743926,56.21168547430363
1935-09-01,131.92905575490582,60.03814139753614,57.69693502417673
1935-10-01,139.73215015665326,66.75347055289903,61.79094144680094
1935-11-01,143.23334449953865,86.8131327717474,64.86301757239144
1935-12-01,147.7517749911204,88.74230288951445,67.84164026832059
1936-01-01,158.34705773076917,108.35109853527321,72.54002996263941
1936-02-01,162.2196313779267,114.93247319811294,74.38579216074463
1936-03-01,163.10954510143296,115.6455525726584,75.18563564263677
1936-04-01,148.04353234975358,98.4642882679224,69.0440988359018
1936-05-01,154.30811729726526,103.08710783067075,72.6489431100919
1936-06-01,157.36044450233075,102.97464185776963,74.4109802237807
1936-07-01,168.70941804629012,113.96755970378291,79.39498750559586
1936-08-01,173.20561094813604,118.47549980116658,80.2035184734136
1936-09-01,178.80427793941362,124.99402658711564,81.03484168753418
1936-10-01,189.3548663771403,134.2411346716411,86.95712276296405
1936-11-01,200.82317063672767,153.64942527679338,89.80235223507096
1936-12-01,200.89482094221847,159.9863685490589,89.99232966300099
1937-01-01,207.4498687857575,183.27275940892497,93.01436126839485
1937-02-01,211.04407467938415,190.43972397141073,94.07453413420752
1937-03-01,210.43301681285413,195.55470604488735,93.89406674387067
1937-04-01,193.78099344847632,169.5565434281454,86.9996697196493
1937-05-01,191.11588234052022,160.33541462419632,86.34520019315866
1937-06-01,182.59592101650924,142.01082584626477,82.71907775791756
1937-07-01,195.39303014976576,163.34496452189023,90.16109310904059
1937-08-01,189.38701945235255,149.79485123529028,85.79379614476369
1937-09-01,159.38109677337903,112.51020423318016,74.08773925942398
1937-10-01,144.1533613948478,101.72792607294252,66.95628916161229
1937-11-01,129.57005775866577,87.6699862906372,61.40254217885131
1937-12-01,121.04280477875766,73.47057219316551,58.80389655730017
1938-01-01,125.16809244826759,78.65985160598076,59.08398829405155
1938-02-01,130.95761486772142,83.7262698789495,62.55611808746213
1938-03-01,102.5392462812323,53.875115980816254,47.61427930834642
1938-04-01,117.65646790709945,69.30675886286785,54.482872657502824
1938-05-01,114.7651155068224,63.04724962940907,52.4118658102421
1938-06-01,136.821026586177,86.63371851366097,64.99771524329235
1938-07-01,147.07698424383625,103.00647358532235,69.76046188003319
1938-08-01,142.84566854470728,93.3487668832913,67.88462678188753
1938-09-01,142.17753173770086,91.23812605989302,68.45933488824751
1938-10-01,155.88647844396718,112.48424712656562,73.81356438391397
1938-11-01,155.81581822101808,101.06585297750861,72.49065093414127
1938-12-01,159.26840243402808,106.61247332123051,75.54161284605475
1939-01-01,153.05089058366718,96.52959012787727,71.00641936506292
1939-02-01,160.59869626638852,98.95695440271655,73.49729339324128
1939-03-01,146.16732150969528,75.42790096977953,64.6326176402622
1939-04-01,146.61015587363394,74.28093815025339,64.51074264263855
1939-05-01,159.0051930291171,79.44737901829278,68.91222235495667
1939-06-01,153.25153390540135,68.65654138266439,65.22819709491613
1939-07-01,165.2280018212126,81.4535381560419,71.90334962529847
1939-08-01,155.27310723916554,70.7468449226005,67.09186315050847
1939-09-01,170.67189064856487,133.12058850807648,78.52678247483328
1939-10-01,177.48251489707994,123.59058009240114,78.08463352337978
1939-11-01,176.46613110349426,101.92446176676629,75.22803282961425
1939-12-01,181.67334663993552,99.18616123602038,77.487809015914
1940-01-01,183.79877764021202,93.8377230508734,75.60080392905691
1940-02-01,188.12591550244,95.28822810032734,76.69525480723259
1940-03-01,191.51851053728143,96.72866879940472,78.27347083967976
1940-04-01,192.56070830718278,91.88661252191717,78.43987070544954
1940-05-01,149.41091143959105,63.51892838489174,61.165163554571656
1940-06-01,160.3168008398274,70.5475188306247,65.26436747868469
1940-07-01,165.61417454066597,71.84691805951184,67.35152941131123
