YearMonth,Portfolio Returns,Portfolio
2021-08,0.03169767,Speculative
2021-09,-0.02012299,Speculative
2021-10,0.03359921212121212,Speculative
2021-11,-0.10206777551020407,Speculative
2021-12,-0.0024146428571428574,Speculative
2022-01,-0.12170934000000001,Speculative
2022-02,-0.0035258100000000003,Speculative
2022-03,0.0040607070707070715,Speculative
2022-04,-0.1474136,Speculative
2022-05,-0.06193476767676767,Speculative
2022-06,-0.1204135612244898,Speculative
2022-07,0.10711353000000001,Speculative
2022-08,0.004830555555555556,Speculative
2022-09,-0.102305101010101,Speculative
2022-10,0.04706879797979798,Speculative
2022-11,0.026381795918367347,Speculative
2022-12,-0.06172426530612245,Speculative
2023-01,0.16533179,Speculative
2023-02,-0.009292767676767677,Speculative
2023-03,-0.018664505154639174,Speculative
2023-04,-0.050888220000000005,Speculative
2023-05,0.04380561,Speculative
2023-06,0.08670901,Speculative
2023-07,0.06892835,Speculative
2023-08,-0.07034626000000001,Speculative
2023-09,-0.08370838383838383,Speculative
2023-10,-0.09344055,Speculative
2023-11,0.10764570707070706,Speculative
2023-12,0.16413978787878789,Speculative
2017-04,0.007069010309278352,Size
2017-05,-0.003859197916666666,Size
2017-06,0.03618978947368421,Size
2017-07,0.01522949494949495,Size
2017-08,-0.013502777777777778,Size
2017-09,0.06523947959183674,Size
2017-10,0.00384861,Size
2017-11,0.03272166,Size
2017-12,0.0012200099999999995,Size
2018-01,0.02906291,Size
2018-02,-0.051023320464595956,Size
2018-03,0.007487816326530612,Size
2018-04,0.0029793636363636368,Size
2018-05,0.0626290202020202,Size
2018-06,0.008667642857142858,Size
2018-07,0.023553666666666667,Size
2018-08,0.033525377551020405,Size
2018-09,-0.029466234693877554,Size
2018-10,-0.10932615,Size
2018-11,0.030097070707070708,Size
2018-12,-0.13385418181818182,Size
2019-01,0.11043505069424242,Size
2019-02,0.058861561224489795,Size
2019-03,-0.01638773469387755,Size
2019-04,0.02339956,Size
2019-05,-0.08405253,Size
2019-06,0.08295221,Size
2019-07,0.0033036199999999997,Size
2019-08,-0.06822206,Size
2019-09,0.013447202020202019,Size
2019-10,0.027256640000000002,Size
2019-11,0.03374038,Size
2019-12,0.02180859,Size
2020-01,-0.04019782653061225,Size
2020-02,-0.07932316326530613,Size
2020-03,-0.18395263917525773,Size
2020-04,0.12183275757575758,Size
2020-05,0.06022475757575758,Size
2020-06,0.00932239393939394,Size
2020-07,0.037186141414141415,Size
2020-08,0.051539575757575756,Size
2020-09,-0.034886626262626265,Size
2020-10,0.03960732323232323,Size
2020-11,0.1888789797979798,Size
2020-12,0.07440120565083838,Size
2021-01,0.04233687,Size
2021-02,0.08706997,Size
2021-03,0.00884014637919192,Size
2021-04,0.02137089898989899,Size
2021-05,0.006582848484848485,Size
2021-06,0.0008447244897959201,Size
2021-07,-0.02858664,Size
2021-08,0.016438489999999997,Size
2021-09,-0.021931480000000003,Size
2021-10,0.03705209090909091,Size
